ID,Trial,Key,Pop,Date_mm_dd,Start_on_video,Latcross_hurdle,Num_cross,Center_s,ST_length,Type,Pool,Temp,Sex_sim,Notes,13C,15N,K_ST
LO_02,1,LO_02_1,LO,07_01,6:27,6,1,100,279,Spin,Assay,19.9,F,,-29.18,12.25,0.001441225
LO_02,2,LO_02_2,LO,07_02,7:28,0,0,124,279,Spin,Assay,18.1,F,,-29.18,12.25,0.001441225
LO_02,3,LO_02_3,LO,07_03,7:04,115,5,9,279,Spin,Assay,17.4,F,,-29.18,12.25,0.001441225
LO_03,1,LO_03_1,LO,07_02,6:27,254,1,59,210,Spin,Hold,19.4,M,,-28.85,11.5,0.001288198
LO_03,2,LO_03_2,LO,07_03,6:00,5,1,17,210,Spin,Hold,18.1,M,Crossed under barrier,-28.85,11.5,0.001288198
LO_03,3,LO_03_3,LO,07_04,6:45,153,9,18,210,Spin,Hold,17.8,M,,-28.85,11.5,0.001288198
LO_04,1,LO_04_1,LO,07_02,7:14,90,8,0,220,Fly,Assay,18.9,J,,-28.71,12.2,0.001242487
LO_04,2,LO_04_2,LO,07_03,7:12,199,3,0,220,Fly,Assay,19,J,,-28.71,12.2,0.001242487
LO_04,3,LO_04_3,LO,07_04,5:42,48,11,10,220,Fly,Assay,17.8,J,,-28.71,12.2,0.001242487
LO_05,1,LO_05_1,LO,07_02,8:41,0,0,41,184,Fly,Hold,21.1,J,,-28.89,11.51,0.001232843
LO_05,2,LO_05_2,LO,07_03,6:39,160,6,42,184,Fly,Hold,19.4,J,All crosses were under barrier,-28.89,11.51,0.001232843
LO_05,3,LO_05_3,LO,07_04,6:16,95,3,18,184,Fly,Hold,17.9,J,,-28.89,11.51,0.001232843
LO_06,1,LO_06_1,LO,07_02,7:44,0,0,119,170,Fly,Assay,20.5,F,,-29.18,11.67,0.001298596
LO_06,2,LO_06_2,LO,07_03,6:50,0,0,130,170,Fly,Assay,20.4,F,,-29.18,11.67,0.001298596
LO_06,3,LO_06_3,LO,07_04,6:02,176,1,42,170,Fly,Assay,18.1,F,,-29.18,11.67,0.001298596
LO_07,1,LO_07_1,LO,07_02,6:01,0,0,32,171,Fly,Hold,21.8,J,,-28.78,11.51,0.001197949
LO_07,2,LO_07_2,LO,07_03,6:01,2,20,14,171,Fly,Hold,21.1,J,Some crosses under barrier,-28.78,11.51,0.001197949
LO_07,3,LO_07_3,LO,07_04,5:56,0,0,0,171,Fly,Hold,18.7,J,Under barrier frozen for majority,-28.78,11.51,0.001197949
LO_08,1,LO_08_1,LO,07_02,6:41,166,2,29,221,Spin,Assay,21.2,F,,-29.09,12.58,0.001344283
LO_08,2,LO_08_2,LO,07_03,6:10,58,6,13,221,Spin,Assay,21.7,F,,-29.09,12.58,0.001344283
LO_08,3,LO_08_3,LO,07_04,6:24,11,8,20,221,Spin,Assay,18.6,F,,-29.09,12.58,0.001344283
LO_09,1,LO_09_1,LO,07_02,6:03,196,3,94,224,Spin,Hold,22,J,,-28.33,12.4,0.001183335
LO_09,2,LO_09_2,LO,07_03,5:48,0,0,35,224,Spin,Hold,22.1,J,,-28.33,12.4,0.001183335
LO_09,3,LO_09_3,LO,07_04,6:33,11,4,3,224,Spin,Hold,19.6,J,,-28.33,12.4,0.001183335
LO_10,1,LO_10_1,LO,07_03,6:04,76,1,61,232,Spin,Assay,19.4,F,,-28.64,12.95,0.001347784
LO_10,2,LO_10_2,LO,07_04,7:27,0,0,32,232,Spin,Assay,18.9,F,,-28.64,12.95,0.001347784
LO_11,1,LO_11_1,LO,07_03,5:59,28,6,46,231,Spin,Hold,20.9,F,,-30.11,11.47,0.001149566
LO_11,2,LO_11_2,LO,07_04,8:27,29,12,20,231,Spin,Hold,19.1,F,,-30.11,11.47,0.001149566
LO_11,3,LO_11_3,LO,07_05,7:23,64,11,1,231,Spin,Hold,17.8,F,Possibly one cross under barrier,-30.11,11.47,0.001149566
LO_12,1,LO_12_1,LO,07_03,5:33,176,7,35,189,Spin,Assay,20.8,J,,-29.01,12.93,0.00119385
LO_12,2,LO_12_2,LO,07_04,7:18,245,1,8,189,Spin,Assay,19.1,J,,-29.01,12.93,0.00119385
LO_12,3,LO_12_3,LO,07_05,7:13,149,9,7,189,Spin,Assay,18.1,J,,-29.01,12.93,0.00119385
LO_13,1,LO_13_1,LO,07_04,5:38,0,0,19,194,Spin,Hold,21.9,J,,-28.38,12.58,0.001301123
LO_13,2,LO_13_2,LO,07_05,8:30,55,5,69,194,Spin,Hold,19.2,J,,-28.38,12.58,0.001301123
LO_13,3,LO_13_3,LO,07_06,8:04,100,5,41,194,Spin,Hold,18,J,,-28.38,12.58,0.001301123
LO_16,1,LO_16_1,LO,07_05,6:43,280,1,85,245,Fly,Assay,19.6,M,,-27.85,11.81,0.001272939
LO_16,2,LO_16_2,LO,07_06,6:56,111,2,70,245,Fly,Assay,18.1,M,,-27.85,11.81,0.001272939
LO_16,3,LO_16_3,LO,07_07,6:26,143,1,63,245,Fly,Assay,16.6,M,,-27.85,11.81,0.001272939
LO_17,1,LO_17_1,LO,07_06,6:21,29,29,101,183,Fly,Hold,18.1,J,Some crosses under barrier,-28.41,12.23,0.00108836
LO_17,2,LO_17_2,LO,07_07,7:03,284,2,0,183,Fly,Hold,16.4,J,,-28.41,12.23,0.00108836
LO_17,3,LO_17_3,LO,07_08,5:54,0,0,0,183,Fly,Hold,14.8,J,,-28.41,12.23,0.00108836
LO_18,1,LO_18_1,LO,07_06,6:32,0,0,106,259,Fly,Assay,18.1,F,,-29.88,12.38,0.001380225
LO_18,2,LO_18_2,LO,07_07,6:33,0,0,0,259,Fly,Assay,16.9,F,,-29.88,12.38,0.001380225
LO_18,3,LO_18_3,LO,07_08,6:34,0,0,0,259,Fly,Assay,14.7,F,,-29.88,12.38,0.001380225
LO_19,1,LO_19_1,LO,07_06,6:33,0,0,0,208,Fly,Hold,18.6,J,,-28.46,12,0.001185699
LO_19,2,LO_19_2,LO,07_07,7:16,0,0,155,208,Fly,Hold,16.6,J,,-28.46,12,0.001185699
LO_19,3,LO_19_3,LO,07_08,6:57,240,1,93,208,Fly,Hold,15.4,J,Crossed under barrier,-28.46,12,0.001185699
LO_20,1,LO_20_1,LO,07_06,6:04,0,0,170,168,Fly,Assay,18.5,J,,-29.06,11.82,0.001370836
LO_20,2,LO_20_2,LO,07_07,6:44,0,0,0,168,Fly,Assay,17.1,J,,-29.06,11.82,0.001370836
LO_20,3,LO_20_3,LO,07_08,6:06,0,0,80,168,Fly,Assay,17.7,J,,-29.06,11.82,0.001370836
LO_21,1,LO_21_1,LO,07_07,6:00,16,19,33,162,Fly,Assay,17.3,J,,-28.12,13.33,0.001145471
LO_21,2,LO_21_2,LO,07_08,6:07,0,0,62,162,Fly,Assay,16.4,J,,-28.12,13.33,0.001145471
LO_21,3,LO_21_3,LO,07_09,7:27,4,20,8,162,Fly,Assay,13.5,J,,-28.12,13.33,0.001145471
LO_22,1,LO_22_1,LO,07_07,7:08,39,1,3,153,Fly,Hold,17.2,J,,-28.3,13.35,0.001320647
LO_22,2,LO_22_2,LO,07_08,5:48,33,2,5,153,Fly,Hold,16.4,J,,-28.3,13.35,0.001320647
LO_22,3,LO_22_3,LO,07_09,7:04,0,0,0,153,Fly,Hold,13.7,J,,-28.3,13.35,0.001320647
LO_23,1,LO_23_1,LO,07_07,6:33,134,5,46,194,Fly,Assay,17.4,F,,-28.55,11.91,0.00131208
LO_23,2,LO_23_2,LO,07_08,6:56,152,6,45,194,Fly,Assay,17.6,F,,-28.55,11.91,0.00131208
LO_23,3,LO_23_3,LO,07_09,5:42,193,7,45,194,Fly,Assay,14,F,,-28.55,11.91,0.00131208
LO_24,1,LO_24_1,LO,07_07,6:35,1,1,0,151,Spin,Hold,17.4,J,Crossed under barrier,-29.23,11.79,0.001391248
LO_24,2,LO_24_2,LO,07_08,6:32,0,0,11,151,Spin,Hold,17.8,J,,-29.23,11.79,0.001391248
LO_24,3,LO_24_3,LO,07_09,6:05,1,4,11,151,Spin,Hold,14.3,J,Crossed under barrier,-29.23,11.79,0.001391248
LO_25,1,LO_25_1,LO,07_07,6:00,225,3,83,217,Fly,Assay,17.6,M,,-28.91,11.84,0.001198828
LO_25,2,LO_25_2,LO,07_08,5:38,29,22,0,217,Fly,Assay,19,M,,-28.91,11.84,0.001198828
LO_25,3,LO_25_3,LO,07_09,5:46,6,9,2,217,Fly,Assay,14.6,M,,-28.91,11.84,0.001198828
LO_27,1,LO_27_1,LO,07_09,5:49,21,12,6,183,Fly,Assay,15.7,J,,-29.29,11.49,0.001184632
LO_27,2,LO_27_2,LO,07_10,8:40,32,11,36,183,Fly,Assay,15,J,,-29.29,11.49,0.001184632
LO_27,3,LO_27_3,LO,07_11,6:29,42,22,16,183,Fly,Assay,14.9,J,,-29.29,11.49,0.001184632
LO_28,1,LO_28_1,LO,07_09,6:19,0,0,71,257,Fly,Hold,16.2,M,,-29.78,11.84,0.001379709
LO_28,2,LO_28_2,LO,07_10,9:58,0,0,0,257,Fly,Hold,15.1,M,,-29.78,11.84,0.001379709
LO_28,3,LO_28_3,LO,07_11,7:07,0,0,35,257,Fly,Hold,14.9,M,,-29.78,11.84,0.001379709
LO_29,1,LO_29_1,LO,07_09,6:30,30,12,25,163,Fly,Assay,17.1,J,,-28.66,11.82,0.001223807
LO_29,2,LO_29_2,LO,07_10,9:19,286,2,60,163,Fly,Assay,15.2,J,,-28.66,11.82,0.001223807
LO_29,3,LO_29_3,LO,07_11,7:05,187,5,73,163,Fly,Assay,14.8,J,,-28.66,11.82,0.001223807
LO_30,1,LO_30_1,LO,07_09,5:52,25,3,75,221,Fly,Hold,17.5,F,,-28.69,12.63,0.001286843
LO_30,2,LO_30_2,LO,07_10,7:44,31,10,57,221,Fly,Hold,15.4,F,Some crosses under barrier,-28.69,12.63,0.001286843
LO_30,3,LO_30_3,LO,07_11,6:40,276,1,45,221,Fly,Hold,14.8,F,,-28.69,12.63,0.001286843
LO_31,1,LO_31_1,LO,07_09,6:51,0,0,0,161,Fly,Assay,18.3,J,,-28.79,12.42,0.001269984
LO_31,2,LO_31_2,LO,07_10,7:06,0,0,0,161,Fly,Assay,15.5,J,,-28.79,12.42,0.001269984
LO_31,3,LO_31_3,LO,07_11,6:44,0,0,18,161,Fly,Assay,14.8,J,,-28.79,12.42,0.001269984
LO_32,1,LO_32_1,LO,07_09,6:10,292,1,60,205,Fly,Hold,18.7,F,,-28.95,12.07,0.001246645
LO_32,2,LO_32_2,LO,07_10,6:12,187,1,140,205,Fly,Hold,16,F,,-28.95,12.07,0.001246645
LO_32,3,LO_32_3,LO,07_11,7:30,167,1,197,205,Fly,Hold,14.8,F,,-28.95,12.07,0.001246645
LO_33,1,LO_33_1,LO,07_11,8:40,0,0,37,214,Spin,Hold,14.6,F,Stuck under barrier,-28.04,12.07,0.001365258
LO_33,2,LO_33_2,LO,07_12,6:53,0,0,43,214,Spin,Hold,15.3,F,,-28.04,12.07,0.001365258
LO_34,1,LO_34_1,LO,07_11,6:03,0,0,15,223,Spin,Assay,13.7,M,,-28.78,11.79,0.001238101
LO_34,2,LO_34_2,LO,07_12,7:03,14,12,0,223,Spin,Assay,14.6,M,,-28.78,11.79,0.001238101
LO_35,1,LO_35_1,LO,07_11,7:43,0,0,76,204,Spin,Hold,17.8,J,,-28.64,11.91,0.001254467
LO_35,2,LO_35_2,LO,07_12,8:11,52,1,0,204,Spin,Hold,16.3,J,,-28.64,11.91,0.001254467
LO_36,1,LO_36_1,LO,07_11,6:41,133,10,72,167,Spin,Assay,20.3,J,,-29.09,11.58,0.001292549
LO_36,2,LO_36_2,LO,07_12,6:24,31,9,114,167,Spin,Assay,15.7,J,,-29.09,11.58,0.001292549
UP_01,1,UP_01_1,UP,06_13,6:26,13,11,40,223,Fly,Camp,,M,,-29.08,11.53,0.001293107
UP_01,2,UP_01_2,UP,06_14,7:00,18,19,14,223,Fly,Camp,,M,,-29.08,11.53,0.001293107
UP_01,3,UP_01_3,UP,06_15,7:42,8,20,4,223,Fly,Camp,,M,,-29.08,11.53,0.001293107
UP_02,1,UP_02_1,UP,06_13,6:54,49,13,19,197,Fly,Camp,,M,,-29.42,10.51,0.001225578
UP_02,2,UP_02_2,UP,06_14,6:19,0,0,68,197,Fly,Camp,,M,,-29.42,10.51,0.001225578
UP_03,1,UP_03_1,UP,06_13,6:18,0,0,0,238,Fly,River,,F,,-29,10.76,0.001111913
UP_03,2,UP_03_2,UP,06_14,6:56,56,5,33,238,Fly,River,,F,,-29,10.76,0.001111913
UP_03,3,UP_03_3,UP,06_15,6:59,272,1,75,238,Fly,River,,F,,-29,10.76,0.001111913
UP_04,1,UP_04_1,UP,06_13,6:57,266,2,8,238,Fly,Camp,,M,,-28.69,10.89,0.001002131
UP_04,2,UP_04_2,UP,06_14,7:06,27,7,11,238,Fly,Camp,,M,,-28.69,10.89,0.001002131
UP_04,3,UP_04_3,UP,06_15,7:40,185,10,6,238,Fly,Camp,,M,,-28.69,10.89,0.001002131
UP_05,1,UP_05_1,UP,06_13,6:30,9,22,7,176,Fly,River,,F,,-29.47,11.14,0.00120878
UP_05,2,UP_05_2,UP,06_14,7:05,29,10,21,176,Fly,River,,F,,-29.47,11.14,0.00120878
UP_05,3,UP_05_3,UP,06_15,7:09,21,27,14,176,Fly,River,,F,,-29.47,11.14,0.00120878
UP_06,1,UP_06_1,UP,06_13,6:20,0,0,37,212,Spin,Camp,,M,,-29.16,10.83,0.001209052
UP_06,2,UP_06_2,UP,06_14,7:42,0,0,23,212,Spin,Camp,,M,,-29.16,10.83,0.001209052
UP_06,3,UP_06_3,UP,06_15,7:20,0,0,18,212,Spin,Camp,,M,,-29.16,10.83,0.001209052
UP_07,1,UP_07_1,UP,06_14,7:15,10,7,26,219,Fly,River,,M,,-29.18,10.97,0.001311949
UP_07,2,UP_07_2,UP,06_15,6:35,266,4,159,219,Fly,River,,M,,-29.18,10.97,0.001311949
UP_07,3,UP_07_3,UP,06_16,6:34,71,14,152,219,Fly,River,,M,,-29.18,10.97,0.001311949
UP_08,1,UP_08_1,UP,06_14,7:58,7,11,40,182,Spin,Camp,,F,,-28.58,11.65,0.001161138
UP_08,3,UP_08_3,UP,06_16,6:17,8,7,54,182,Spin,Camp,,F,,-28.58,11.65,0.001161138
UP_11,1,UP_11_1,UP,06_16,5:42,107,6,85,216,Spin,Camp,,M,,-29.4,10.78,0.001301885
UP_11,2,UP_11_2,UP,06_17,6:30,0,0,91,216,Spin,Camp,,M,,-29.4,10.78,0.001301885
UP_11,3,UP_11_3,UP,06_18,7:36,10,13,0,216,Spin,Camp,,M,,-29.4,10.78,0.001301885
UP_13,1,UP_13_1,UP,06_17,5:47,161,2,66,186,Fly,River,,M,,-29.13,11.39,0.001257215
UP_13,2,UP_13_2,UP,06_18,7:08,53,14,0,186,Fly,River,,M,,-29.13,11.39,0.001257215
UP_13,3,UP_13_3,UP,06_19,6:00,162,6,40,186,Fly,River,,M,,-29.13,11.39,0.001257215
UP_14,1,UP_14_1,UP,06_18,6:38,22,9,4,231,Fly,Camp,,F,,-28.78,10.91,0.001201487
UP_14,2,UP_14_2,UP,06_19,6:13,21,27,0,231,Fly,Camp,,F,,-28.78,10.91,0.001201487
UP_14,3,UP_14_3,UP,06_20,6:24,4,17,4,231,Fly,Camp,,F,,-28.78,10.91,0.001201487
UP_15,1,UP_15_1,UP,06_19,7:46,15,1,47,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_15,2,UP_15_2,UP,06_20,6:33,78,9,17,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_15,3,UP_15_3,UP,06_21,7:15,10,25,12,223,Spin,Camp,,F,,-30.34,10.75,0.001331882
UP_16,1,UP_16_1,UP,06_19,7:01,71,5,60,204,Spin,River,,F,,-29.11,11.56,0.001300405
